RowID,Title,Abstract
1,Conference: International Conference on Mathematical and Scientific Machine Learning 2025 (MSML2025),"The International Conference on Mathematical and Scientific Machine Learning 2025 (MSML2025) will be held in Naples, Italy at the University of Naples Federico II, August 4-8, 2025. This conference will be hosted in the “Aula Magna.” MSML2025 will be the fifth edition of a recently established international conference with an emphasis on promoting the study of mathematical theory and algorithms of machine learning, as well as applications of machine learning in scientific computing and engineering disciplines. This edition will be the second conference of the series to be held fully in person. This international conference aims to bring together the communities of machine learning, applied mathematics, and computational science and engineering, to exchange ideas and progress in this fast-growing field. This conference will help contribute to the training and growth of the workforce in this field by supporting the attendance of graduate students, postdoctoral researchers, and junior researchers. <br/><br/>The objective of this conference series is to promote the study of theory and algorithms of machine learning and machine intelligence as well as applications in scientific and engineering disciplines such as physics, chemistry, material sciences, fluid and solid mechanics, etc. New themes of the conference will include transformers and state-space models, analysis of attention mechanisms, causal inference, optimization for surrogate training, and optimal transport, while more traditional themes such as graph neural networks, neural operators and general mathematics of machine learning will also be featured. More information about the conference is available at the conference website: https://sites.google.com/view/msml2025/home.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2,CAREER: From Enriched Private Set Intersection to Broad Applications of Secure Multi-Party Computation,"Advanced data analytics involves performing computation on data sets to produce useful insights. Data analytics finds application across many fields and has enabled major breakthroughs, however the potential has been constrained by challenges in sharing sensitive, distributed data. Secure multi-party computation (MPC) provides a promising solution, allowing multiple parties who have relevant datasets to perform computations on their combined data while preserving privacy. As a special case of MPC, private set intersection (PSI), which securely computes the data elements in common in the private sets, has shown early success in practice. This project expands the initial success of PSI to a much broader range of applications of MPC. The project's novelties are identifying the fundamental challenges that currently limit the use cases of PSI, and developing new tools that not only enhance PSI but also address common challenges in many other MPC problems. The project's broader significance and importance are accelerating the industrial adoption of PSI and extending the frontiers of practical MPC, enabling large-scale, privacy-preserving data analytics on sensitive data. The project includes educational and outreach activities such as integrating research into curricula, organizing mentoring workshops, developing tutorial resources to guide researchers and developers in the field, and mentoring students at all levels, especially those from underrepresented groups in computing.<br/><br/>The project focuses on three main thrusts. First, the project bridges the gap between standard PSI and PSI with enriched functionalities by developing unified frameworks for private join and compute that computes arbitrary functions on the intersection and for fuzzy-matching PSI that identifies fuzzy or noisy matches. Second, the investigator studies large-scale PSI for big data, designing efficient protocols for PSI with unbalanced sets and resources and for streaming data, which are better suited for many real-world scenarios. Finally, the project expands its scope beyond PSI, applying the new techniques to other important MPC problems, including privacy-preserving machine learning, genomic sequence matching, and private information retrieval.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
3,MCA: Neural control of elaborate gestural displays,"Many animals, including humans, communicate using elaborate gestures and body movements. Indeed, such behavior can mediate interactions related to courtship, competition, parenting, cooperation, feeding, and even predatory defense. However, despite the importance of this behavior to survival and reproductive success, as well as its ubiquity in animals, very little is understood about its mechanistic basis. This gap is perhaps largest with respect to the brain. The current project will provide the investigator with training in cutting-edge neuroscience technology that will test how particular brain regions contribute to the production of specialized gestural movements that mediate communication between individuals. The work itself will involve woodpeckers, which readily drum their beaks on trees to notify others of their territory in an attempt to maintain access to important breeding resources. Training that the investigator receives will greatly enhance his research program by allowing him to address a set of novel questions about how brain-level control of behavior is used for communication. Such skills will also elevate the investigator’s ability to train future scientists (e.g., undergraduate, graduate, and postdoctoral students) who are interested in exploring more about how the brain controls social behavior. More broadly, this project includes plans to support the development of STEM educational programming for limited English proficiency (LEP) high school students in the Rhode Island school system. <br/><br/>Gesture and body movement are critical components of animal communication in a diverse range of taxa, yet little is known about how the brain controls such behavior. This project aims to uncover the neural basis of gestural communication, both in terms of gestural production and perception. To do this work, the investigator will receive rigorous training in cutting-edge neural electrophysiology techniques so that brain activity can be recorded in freely displaying animals, as well as animals that perceive such displays. The focal species will be downy woodpeckers, as these birds compete for territories by rapidly jackhammering their bills on trees in the environment. This is one of the most extreme gestural displays on the planet, and thus these birds make an excellent model to pioneer studies that explore how the brain controls this incredible behavior. Accordingly, this research will provide one of the first explorations of the forebrain system that controls discrete movements to facilitate drumming displays. This study will also compare the control of these movements to other non-communicative movements, such as basic locomotion or foraging. Finally, this research will work to establish how perceptual systems in the nervous system facilitate the appraisal of drumming. The auditory forebrain will be the focal point of perception experiments, and this work will provide a first look at how gesture-based displays might be assessed aurally by the brain.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
4,EPSCoR Research Fellows: NSF:Resonant X-ray Studies of Magnetic Structures and Excitations in the Two-Dimensional Limit,"In magnetic materials, the particular microscopic pattern of magnetic ordering is determined by interactions between the materials constituent magnetic moments and can have profound effect on the material properties. A special class of magnetic materials, called frustrated magnets, have magnetic interactions that cannot be mutually satisfied. Such competing magnetic interactions generate exotic magnetic structures that often have the special property that they do not exhibit a net magnetic field, but can still influence electric or thermal currents. This unique characteristic makes frustrated magnets ideal to realize future low energy dissipation spintronic devices. However, characterizing the magnetic structures and microscopic energy scales that stabilize those structures in a given material prepared in device relevant geometries remains an outstanding challenge. This project will develop and use advanced synchrotron x-ray scattering techniques at the National Synchrotron Light Source II to elucidate the magnetic structures and fundamental dynamic response characterizing frustrated magnetic materials in nanoscale device relevant configurations. The material parameters quantified through this work will be essential input into theoretical frameworks for predicting physical properties of model frustrated magnets and provide essential input towards incorporating their novel functionalities into future energy efficient technologies. The project will establish a long term sustainable collaboration between Brookhaven National Laboratory and Brown University to train graduate students in synchrotron x-ray techniques and magnetic materials characterization.<br/><br/>Frustrated van der Waals magnets offer unprecedented opportunities to realize new magnetic phases of matter exhibiting complex, multi-sublattice, magnetic textures. Such magnetic textures may exhibit a vanishing net magnetization and hold great promise for fast and low dissipation spintronic devices because they exhibit a vanishing net magnetization. However, elucidating the underlying microscopic physics of new and existing materials is challenging because the antiferromagnetic textures span broad length scales, do not couple directly to magnetic fields, and there is a current lack of measurements that can directly probe magnet structures and excitations in the two-dimensional limit. This project will catalyze a long term sustainable collaboration between researchers at Brookhaven National Lab and Brown University to develop new probes of magnetic order and excitations in two-dimensional materials and across nanometer length scales. Planned work comprises a comprehensive resonant x-ray scattering program to probe the static and dynamic response functions of model frustrated magnets. Resonant inelastic x-ray scattering will be used to quantify the dimensional evolution of dynamic magnetic response functions in a model van der Waals antiferromagnet, exfoliated to the two-dimensional limit. Resonant elastic x-rays scattering with nano-focused beams will be used to quantify the chiral antiferromagnetic domain distribution in a metallic frustrated magnet, and follow its evolution under applied biasing fields. New tools for quantifying the magnetic response of frustrated antiferromagnets will be developed and used to elucidate their microscopic organizing principles of frustrated magnets and provide essential input for the design of antiferromagnetic spintronics that require precise domain control.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
5,EPSCoR Research Fellows: NSF: In Situ Structural Characterization of Copper-Carbon Heterostructures for Renewable Energy,"Our society relies on clean sources of energy for food, shelter, transportation, and recreational activities. In recent years, nanomaterials have garnered much interest due to their transformative properties in storing information, catalyzing reactivity, and enhancing electronic dynamics for new modalities and functionalities. This fellowship project explores how an emergent class of nanomaterials based on the fusion of copper with carbon can lead to unprecedented levels of thermal energy management. To accomplish the scientific aims, the team will employ a range of advanced optical and X-ray radiation strategies that shed light on the complex origins of enhanced thermal conductivity on microscopic levels down to tens of nanometers – the length scale of grain boundaries, transport, and chemical structures. The work will further study the flow of electrons and changes through a material under a temperature jump, and how this translates into applied technologies. This new class of materials hold promise for the most demanding and intensive of clean energy applications because of their scalability and projected vast energy savings in electricity, high performance transformer cables, and in powering the national grid with great potentials for transforming societal outcomes in energy resilience and carbon-neutrality. Additionally, a diverse student body will participate as teaching trainees with the outcomes disseminated broadly.<br/><br/>This Research Infrastructure Improvement (RII) EPSCoR Research Fellows project will provide a fellowship to an Assistant Professor and training for a graduate student at Brown University. This work will be conducted in collaboration with researchers at Argonne National Laboratory. This fellowship aims to explore the physical, electronic, and chemical properties of clean energy-based nanomaterials. The project reveals important information about the charge transfer dynamics and flow of electrons in a highly conductive copper-carbon composite material for the development of novel enhanced thermal conductivity. To this end, the team will investigate the origins of enhanced thermal conduction properties with 2D X-ray absorption near edge spectroscopy, surface-enhanced Raman spectroscopy, and ultrafast electron diffraction imaging. A range of spectroscopic techniques with high temporal, high spatial, and high energy resolution will help to understand the correspondence between macroscopic thermal conductivity and microscopic electron density changes at the copper-carbon interface. The fellowship will further quantify how size and structure play a role in enhanced electron or thermal transport especially along grain boundaries. Knowledge gained will help to design parameters inherent in chemical and electronic structures that lead to enhanced electron transport mediated by lattice distortions both across the surface of the thin film and its bulk properties.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
6,OPP-PRF: Finding a Future using the Past: Woodland Caribou Ecology in a Changing Arctic,"Caribou are an ecologically and culturally important species in the Arctic, but their long-term survival is threatened by modern climate change. In the last century, caribou populations have declined considerably throughout their circumpolar range, with many herds shrinking by more than 50% in size. Wildlife managers and scientists must attempt to navigate an uncertain future for this culturally significant mammal, yet focusing solely on modern data provides a limited window into an animal’s ecology. Studying how a species has responded to changes in their environment in the past can greatly inform how they may respond to changes in the future, making the fossil record highly useful for modern conservation challenges. This research will use both modern and paleontological data to investigate how caribou are impacted by changing climactic and environmental conditions. The project will be undertaken in close collaboration with local Canadian and First Nation partners, and results will be used to inform ongoing conservation and management of this threatened species. Further, this project will be leveraged toward a course-based undergraduate research experience (CURE) at Brown University to broaden participation in polar science. <br/><br/>This project will focus specifically on northern mountain woodland caribou, a threatened ecotype that congregates on alpine ice patches during the summer to escape biting insects, leaving behind dung that becomes permanently frozen in layers of ice for millennia. Researchers will use this unique—but climatically threatened—paleorecord to establish how caribou diet has changed in response to climactic shifts during the Holocene using fecal DNA metabarcoding. This approach will produce taxonomically precise dietary inferences that are rarely achievable from fossil records. Additionally, researchers will use GPS satellite collar data on modern Yukon herds to investigate the dependence of northern mountain woodland caribou on ice patches and how it influences their summer habitat selection. A more detailed understanding of caribou ice patch use is essential for quantifying the impacts of future ice loss as well as interpreting paleoecological data from the ice patch record. This project will address key gaps in our understanding of caribou ecology while further expanding cutting-edge genomic methods for ice-preserved samples.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
7,Pliocene-Pleistocene hydroclimate in northern South America as an analogue for future rainfall regimes in the 21st century,"The Pliocene, from ~5.3 to 2.6 million years ago (Ma), is the last epoch when Earth’s mean temperature was ~3°C warmer than today and CO2 concentrations were sustained at high levels. Global temperatures resembling those of the Pliocene may prevail during the 21st century, making this epoch a valuable opportunity to test our understanding of how the hydrological cycle functions in a warm climate. However, there is insufficient information about rainfall patterns during this time, limiting our ability to assess the mechanisms governing rainfall regimes during times of sustained warmth that could help making predictions about the near-future. This project aims to understand tropical rainfall patterns in northern South America during the Pliocene and across the Pliocene-Pleistocene boundary. To achieve this goal, measurements of chemical signals of rainfall preserved in a sediment core from the Bogotá basin at ~4°N will be made. The proposed research will provide an insight into tropical rainfall and water resources that could help regional water managers prepare for the future. This project supports a female, non-native English speaker, Latina postdoctoral researcher as a PI. It will also support the resources for designing and implementing, in both English and Spanish, the following activities: 1) climate literacy lesson plans for elementary school students, teachers, and caregivers and 2) disseminating the results of the project in social media platforms that are culturally relevant to Latin Americans. Developing climate literacy and outreach content in both languages will help cross language barriers and accelerate access to educational materials. <br/><br/>Specifically, this project aims to test the hypotheses about the mechanisms that governed, and may govern in the future, rainfall regimes during the late Pliocene to early-mid Pleistocene in northern South America. This research will generate and interpret a new record of hydrogen isotopic composition of precipitation from plant wax (𝛿Dwax), both with n-alkanes and n-alkanoic acids, preserved in the Funza-II core from the Bogotá Basin to detect paleohydrological changes between ~1.5 to 4 Ma. It is also proposed to generate a modern dataset of stable isotope composition of daily rainfall and back-trajectory analysis of rain-bearing air masses to improve the understanding of the regional hydroclimate patterns and variability. δDwax data of the Funza-II will be compared against model outputs and existing hydroclimate and sea surface temperature information to test critical hypotheses about the mechanisms that governed rainfall regimes during the Plio-Pleistocene. It is anticipated that project outcomes will provide fundamental insights into the mechanisms governing the hydrological cycle under these boundary conditions across the Americas.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
8,EPSCOR Research Fellows: NSF: Molecular control and probe for emergent quantum phenomena at interfaces,"The flow and location of electrons determine whether materials can conduct electricity or act as insulators, forming the foundation of electronics. In this context, electrons are typically considered free, non-interacting particles. However, in some solid-state materials, electrons strongly interact with each other. These electrons can exhibit highly cooperative behaviors, such as traveling in pairs without resistance, a phenomenon known as superconductivity. Precise control and examination of electron-electron interactions are crucial for advanced information technologies. This project aims to control and visualize the interactions of electrons in atomically-thin materials with sub-nanometer-to-nanometer accuracy. Visualizing the electronic structures of materials with high accuracy, which is currently lacking at Brown University, is critical for studying functional materials. In this regard, the project will take advantage of the advanced surface imaging facility at Brookhaven National Laboratory (BNL) and establish a long-term collaboration between Brown researchers and BNL scientists in quantum science. The project has a potential to transform the PI’s career trajectory and benefit to Brown and to the jurisdiction with the new collaborations. Additionally, the project will involve local high school students in research at Brown and develop outreach modules deliver a basic understanding of quantum phenomena to K-12 students in Rhode Island.<br/><br/>This Research Infrastructure Improvement (RII) EPSCoR Research Fellows proposal will provide a fellowship to an Assistant Professor and training for a graduate student at Brown University. Quantum phase transitions, headlined by strongly correlated electrons, have been a major stream in modern physical sciences and play a critical role in quantum information sciences and technologies. Despite their realization in 2D materials, high-precision control and probing of quantum phases down to the molecular level remain a formidable challenge in current research of quantum materials. Tackling this grand challenge requires precise control over the confinement of electronic density of states (DOS), and the ability to detect local static and dynamic information of quantum phases. Leveraging expertise in molecular design and synthesis and 2D device fabrications in the PI’s Lab at Brown University, along with the state-of-the-art scanning tunneling microscopy/spectroscopy (STM/STS) facility at Brookhaven National Laboratory (BNL), the PI will exploit exquisite control in molecular chemistry to realize (1) the control of DOS in 2D systems via 2D-molecule interfacial interactions, and (2) the detection of local quantum phases in 2D materials at the molecular-level precision. These research endeavors will open the door to an entirely new route to realizing strongly correlated systems based on molecular assemblies and will enable the high-spatial and temporal-precision detection of local static and dynamic quantum phase information using molecular messengers. The PI and graduate student from Brown will periodically visit BNL to perform and discuss the proposed experiments; BNL scientists will also visit Brown University to plan joint experiments and delivery seminar. These collaborative efforts will enable a sustainable collaboration between the two institutions beyond the award period.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
9,Collaborative Research: Multi-User Access to Sub-THz Spectrum,"To scale data rates in the face of rapidly growing application performance demands, next-generation wireless networks must provide efficient and low-latency access to the next spectrum frontier above 100 GHz. At such high frequencies, wider bandwidths will be available, enabling significantly higher data rates approaching terabits per second. Moreover, highly directive beams will be required to focus the transmission on the mobile user. This project provides two key building blocks for realizing such networks. First, this project will yield a rapid localization method so that highly directive transmissions can dynamically track mobile users. Second, this project will yield the first experimental network above 100 GHz in which an access point can simultaneously transmit to multiple mobile users. Such a multi-user capability is critical for realizing high data rates with low-latency access in dense user populations. One demonstration will be to simultaneously form signal spotlights to mobile users, adapting both the center and size of the spotlights according to the user mobility. <br/><br/>This project will demonstrate a sub-THz multi-user data-plane and control-plane via three integrated research thrusts, each of which includes implementation and experimental validation. The first project thrust will realize multi-user sub-THz spectrum access with a radically simplified architecture requiring no RF chains and no antenna arrays. The key technique is to dynamically reconfigure a transmissive metasurface with high-entropy wavefronts that yield different data symbols in different directions. Namely, off-line pre-characterization of the metasurface’s angular response will enable the metasurface itself to simultaneously generate multiple independent directional data streams. Designs will realize beamforming gains, angular symbol diversity, and robustness to client mobility. <br/>The second project thrust will realize multi-user spectrum access by generating custom-sized and shaped “spotlights” for each user. Exploiting the fact that the sub-THz near field can extend to tens of meters or more, the key technique is to reconfigure the metasurface’s meta-atoms to dynamically shape each user’s electromagnetic energy in space according to their location, mobility and potential interference, thereby enabling both robust and high-rate access. Spotlight shapes can be custom tailored to a user’s needs, even including curved trajectories to better support mobility around corners and to reduce inter-user interference. The third project thrust will realize a low-latency sub-THz control plane that yields high accuracy location and channel information. The key technique is for the access point to generate beacons with pre-characterized high-entropy wavefronts such that a small change in receiver position will yield a distinct spectral signature. The method enables one-shot localization and promises to significantly advance the state-of-the-art in both spatial resolution and time required. Consequently, it provides a key building block for realizing highly directional sub-THz access.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
10,AIMing:  Discovery through Machine Learning in Partial Differential Equations,"Recent advances in machine learning are demonstrating the potential to find solutions of challenging nonlinear partial differential equations which hold great significance in a variety of fields, including applied mathematics, physics, and engineering. Computer-assisted proofs are gaining momentum in this field, demonstrating their success in situations that have previously been out of reach using traditional approaches. By harnessing the synergy between mathematical principles and computational methods, the goal of this project is to unlock new mathematical insights, streamline computational processes, and push the boundaries of scientific exploration using novel machine learning approaches for understanding partial differential equations. Training of undergraduates, graduate students and postdocs is a fundamental component of this project, involving research questions that are rich and suitable for trainees. The investigator will also devote significant time to enhance and broaden participation in the mathematical community by organizing conferences, designing new courses and creating new programs, as well as contributing with open-source code to existing libraries such as mathlib or Arb.<br/><br/>This project has two complementary research goals. Machine-learning approaches will be developed for solving long standing open problems in (broadly defined) nonlinear partial differential equations, including dispersive, elliptic, and geometric frameworks. In complement, the project also intends to advance the heuristics behind machine-learning numerics for such equations, guided by new mathematical knowledge. This involves discovering and verifying new solutions to longstanding conjectures while at the same time improving on machine learning algorithms. This project is divided in four tasks: the first involves the incompressible Euler equation, the second addresses elliptic partial differential equations; the third studies geometric partial differential equations and Calabi-Yau metrics, and the fourth involves the development of mathlib and Lean code.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
